"state","formatted_experience_level","Salary","doc_id"
"CA","Entry level",6769.5,1
"CA","Mid-Senior level",8235,2
"Other","Entry level",37566,3
"TX","Other",37566,4
"MD","Other",39653,5
"WA","Entry level",43409.6,6
"Other","Other",45079.2,7
"Other","Other",45079.2,8
"CA","Associate",45914,9
"CA","Entry level",48000,10
"CA","Entry level",48324.485,11
"Other","Entry level",51068.89,12
"GA","Entry level",51173.24,13
"Other","Associate",52500,14
"OH","Entry level",61545.63,15
"NY","Associate",65000,16
"Other","Other",65000,17
"WA","Associate",65121.5,18
"Other","Associate",65300,19
"NC","Entry level",66297,20
"NC","Associate",67500,21
"Other","Mid-Senior level",67500,22
"OH","Associate",68316,23
"CO","Mid-Senior level",69700,24
"OH","Entry level",69914.5,25
"IL","Other",70000,26
"Other","Entry level",70000,27
"Other","Entry level",70000,28
"UT","Entry level",72500,29
"Other","Other",75000,30
"Other","Mid-Senior level",75000,31
"Other","Associate",75000,32
"Other","Entry level",75000,33
"Other","Entry level",75000,34
"Other","Entry level",75000,35
"Other","Entry level",75000,36
"Other","Entry level",75000,37
"Other","Entry level",75000,38
"Other","Entry level",75000,39
"Other","Entry level",75000,40
"Other","Entry level",75000,41
"CA","Associate",75215.48,42
"Other","Mid-Senior level",80000,43
"CA","Mid-Senior level",80600,44
"Other","Other",83480,45
"Other","Other",84000,46
"Other","Other",84000,47
"Other","Mid-Senior level",84800,48
"VA","Entry level",86500,49
"CO","Entry level",87049.5,50
"CO","Mid-Senior level",87500,51
"Other","Mid-Senior level",87500,52
"CA","Entry level",90000,53
"GA","Mid-Senior level",90000,54
"Other","Entry level",90250,55
"CA","Other",92000,56
"Other","Mid-Senior level",93100,57
"TX","Other",93500,58
"UT","Entry level",94311.53,59
"OH","Mid-Senior level",94586.5,60
"Other","Entry level",94900,61
"Other","Other",95000,62
"PA","Entry level",95000,63
"FL","Other",95000,64
"VA","Other",95700,65
"CA","Mid-Senior level",96000,66
"CA","Entry level",97000,67
"Other","Director",1e+05,68
"OH","Associate",1e+05,69
"Other","Other",1e+05,70
"GA","Mid-Senior level",1e+05,71
"CA","Entry level",101691,72
"CA","Entry level",101887.5,73
"CO","Mid-Senior level",104000,74
"NY","Mid-Senior level",104750,75
"NY","Mid-Senior level",104750,76
"VA","Mid-Senior level",105000,77
"Other","Entry level",106492.5,78
"CA","Associate",106820,79
"WA","Mid-Senior level",107490.935,80
"MD","Mid-Senior level",107500,81
"Other","Mid-Senior level",108000,82
"Other","Director",109133,83
"Other","Mid-Senior level",109500,84
"Other","Entry level",109600,85
"Other","Other",110000,86
"UT","Associate",112000,87
"Other","Mid-Senior level",112000,88
"Other","Entry level",114000,89
"TX","Other",114785,90
"VA","Associate",115000,91
"Other","Mid-Senior level",115000,92
"FL","Other",115000,93
"WA","Mid-Senior level",117500,94
"MD","Mid-Senior level",117500,95
"Other","Other",117500,96
"GA","Mid-Senior level",117500,97
"IL","Mid-Senior level",117500,98
"FL","Mid-Senior level",117500,99
"OH","Mid-Senior level",117500,100
"Other","Mid-Senior level",117500,101
"WA","Mid-Senior level",117850,102
"VA","Other",119500,103
"VA","Other",119550,104
"VA","Other",119550,105
"VA","Other",119550,106
"Other","Mid-Senior level",120000,107
"NY","Mid-Senior level",121500,108
"VA","Mid-Senior level",121500,109
"CA","Entry level",122500,110
"Other","Mid-Senior level",125000,111
"WA","Mid-Senior level",125000,112
"Other","Mid-Senior level",125000,113
"Other","Mid-Senior level",125000,114
"Other","Mid-Senior level",125000,115
"Other","Entry level",125000,116
"Other","Other",125000,117
"IL","Other",125000,118
"TX","Mid-Senior level",125000,119
"CA","Mid-Senior level",126000,120
"VA","Entry level",127250,121
"OH","Mid-Senior level",127500,122
"WA","Mid-Senior level",127500,123
"Other","Mid-Senior level",127500,124
"CA","Other",127500,125
"Other","Other",127500,126
"MD","Mid-Senior level",127500,127
"FL","Mid-Senior level",128100,128
"GA","Entry level",129800.43,129
"NV","Other",130000,130
"NV","Other",130000,131
"CA","Entry level",130000,132
"CO","Entry level",130000,133
"Other","Mid-Senior level",132500,134
"CA","Other",133900,135
"TX","Mid-Senior level",134808,136
"Other","Associate",135000,137
"NY","Mid-Senior level",135000,138
"Other","Mid-Senior level",135000,139
"Other","Mid-Senior level",135000,140
"CA","Other",135000,141
"OH","Entry level",135100,142
"Other","Other",135100,143
"Other","Entry level",135414,144
"CO","Mid-Senior level",135655,145
"Other","Other",139250,146
"NY","Mid-Senior level",140000,147
"IL","Other",142000,148
"CA","Other",142000,149
"Other","Entry level",142428,150
"Other","Mid-Senior level",142500,151
"CA","Mid-Senior level",142750,152
"CA","Mid-Senior level",143293,153
"TX","Mid-Senior level",144900,154
"Other","Director",145000,155
"NC","Mid-Senior level",146090,156
"GA","Other",147500,157
"VA","Other",147500,158
"NY","Other",147500,159
"Other","Entry level",149000,160
"Other","Mid-Senior level",150000,161
"Other","Mid-Senior level",150000,162
"NY","Mid-Senior level",150000,163
"Other","Mid-Senior level",150000,164
"Other","Mid-Senior level",150000,165
"NY","Associate",152500,166
"Other","Mid-Senior level",155000,167
"Other","Mid-Senior level",157657.5,168
"PA","Director",162500,169
"Other","Mid-Senior level",162500,170
"Other","Other",165000,171
"CA","Mid-Senior level",170000,172
"CA","Mid-Senior level",170000,173
"IL","Other",170000,174
"Other","Mid-Senior level",170000,175
"CA","Mid-Senior level",170000,176
"CA","Other",170200,177
"CA","Other",170200,178
"WA","Mid-Senior level",171000,179
"Other","Mid-Senior level",172177.5,180
"NV","Other",172500,181
"GA","Other",174000,182
"IL","Other",175000,183
"Other","Mid-Senior level",175000,184
"Other","Mid-Senior level",175000,185
"Other","Director",175600,186
"Other","Mid-Senior level",176306.5,187
"Other","Other",182500,188
"CA","Mid-Senior level",183000,189
"CA","Mid-Senior level",183000,190
"CA","Mid-Senior level",183000,191
"TX","Mid-Senior level",183000,192
"WA","Mid-Senior level",183000,193
"WA","Mid-Senior level",183000,194
"CA","Mid-Senior level",183000,195
"CA","Mid-Senior level",183000,196
"WA","Entry level",184250,197
"CA","Entry level",184250,198
"Other","Director",184500,199
"Other","Director",185000,200
"CA","Director",190000,201
"Other","Entry level",192500,202
"NY","Mid-Senior level",197500,203
"VA","Mid-Senior level",199837.5,204
"NY","Director",201000,205
"Other","Mid-Senior level",206250,206
"CA","Other",207500,207
"WA","Other",208000,208
"NY","Other",208000,209
"WA","Other",208000,210
"CA","Other",208000,211
"Other","Director",210000,212
"CA","Director",220000,213
"Other","Entry level",221000,214
"Other","Mid-Senior level",225000,215
"NY","Mid-Senior level",225000,216
"Other","Mid-Senior level",227500,217
"Other","Mid-Senior level",229500,218
"TX","Mid-Senior level",233000,219
"PA","Other",248970,220
"TX","Other",257000,221
"NY","Director",257500,222
"CA","Other",260200,223
"CA","Other",262900,224
"Other","Executive",279000,225
"CA","Other",281950,226
"CA","Other",306052.5,227
"Other","Executive",4e+05,228
