"salary","prediction","state"
6769.5,24771.4856472273,"CA"
39653,62586.7902262775,"MD"
43409.6,51634.7531091634,"WA"
45914,57114.254278364,"CA"
48000,71109.001959889,"CA"
48324.485,65103.7563035975,"CA"
61545.63,70618.5356582798,"OH"
68316,83250.4021894437,"OH"
72500,83116.4451218884,"UT"
75215.48,86459.6038204208,"CA"
80600,92822.2852544201,"CA"
87049.5000000001,87247.4963104994,"CO"
90000,97045.3806598048,"CA"
90000,101158.818860544,"GA"
93500.0000000001,105119.777054262,"TX"
94586.4999999999,93743.3257541605,"OH"
95000,104305.396275371,"FL"
95699.9999999999,106540.479743761,"VA"
96000,106313.232784955,"CA"
97000,102759.261524152,"CA"
1e+05,108714.106233475,"OH"
1e+05,108100.839441447,"GA"
101887.5,108954.695740268,"CA"
104750,107841.340479306,"NY"
106820,100294.535102784,"CA"
107490.935,110453.792185015,"WA"
115000,112030.102219502,"FL"
117500,105579.125791179,"WA"
117500,118628.243895948,"MD"
117500,117221.463011958,"GA"
117500,117254.12997873,"FL"
119500,117028.894461964,"VA"
119550,120816.283832299,"VA"
119550,117240.375823767,"VA"
121500,115378.331162493,"VA"
125000,127959.467378358,"TX"
127500,124380.838193565,"OH"
127500,124142.429824683,"WA"
127500,121231.68451787,"CA"
129800.43,126260.874165838,"GA"
130000,129263.575869421,"NV"
130000,109437.599357879,"CA"
135000,131270.519623815,"CA"
142000,138385.188869928,"CA"
142750,135027.547549074,"CA"
143293,133924.253656932,"CA"
144900,139084.808859716,"TX"
146090,126243.360107212,"NC"
147500,148610.573660716,"NY"
150000,130240.733136845,"NY"
152500,132984.448157009,"NY"
170000,161274.163905227,"CA"
170000,154673.10308157,"CA"
170200,157255.006227265,"CA"
172500,154883.720636268,"NV"
183000,181800.768320318,"CA"
183000,181800.768320318,"CA"
183000,181800.768320318,"CA"
190000,159321.331357577,"CA"
207500,182891.096064248,"CA"
208000,204929.450281908,"WA"
208000,204929.450281908,"WA"
208000,203671.465257606,"CA"
220000,193022.41375665,"CA"
262900,203575.306877649,"CA"
306052.5,198826.22025801,"CA"
37566,50586.0461228075,"Other"
52500,73981.3773907242,"Other"
65000,74404.2556145171,"NY"
65000,76417.2766739447,"Other"
65121.5,76402.1144809338,"WA"
65299.9999999999,76998.4270904778,"Other"
66297,74914.7684939389,"NC"
69914.5,81565.5451378956,"OH"
70000,70123.4779321019,"Other"
70000,70123.4779321019,"Other"
75000,83719.2560267413,"Other"
75000,74850.1673219658,"Other"
75000,74850.1673219658,"Other"
75000,74850.1673219658,"Other"
75000,74850.1673219658,"Other"
75000,74850.1673219658,"Other"
75000,74850.1673219658,"Other"
75000,74850.1673219658,"Other"
75000,74850.1673219658,"Other"
80000,86930.1974700876,"Other"
83480,88675.042905499,"Other"
84000,93121.6041656064,"Other"
84000,91277.4477991948,"Other"
87500.0000000001,103092.053288643,"CO"
87500.0000000001,92405.3847237305,"Other"
94900,111165.565953447,"Other"
95000,108552.610271079,"Other"
95000,92780.3725001932,"PA"
1e+05,103484.041814699,"Other"
104000,105384.446314259,"CO"
104750,107841.340479306,"NY"
106492.5,95743.3489037066,"Other"
107500,109239.716406716,"MD"
109500,113780.410906761,"Other"
109600,103822.902867155,"Other"
110000,113182.018008732,"Other"
112000,113038.258376654,"Other"
114000,114109.973577674,"Other"
114785,115648.799259341,"TX"
115000,113367.188739226,"VA"
115000,117006.967337291,"Other"
117500,117956.262954659,"IL"
117500,116416.581641115,"OH"
117500,118578.526752487,"Other"
121500,123110.015183236,"NY"
125000,115029.900515327,"Other"
125000,139118.710466986,"Other"
125000,117654.192779726,"Other"
125000,129961.515676857,"Other"
125000,124905.524604118,"IL"
127500,127128.805452481,"Other"
127500,128384.622956242,"Other"
128100,121981.69259809,"FL"
130000,129263.575869421,"NV"
132500,129608.384447382,"Other"
135000,120196.432110944,"Other"
135000,136499.09074296,"NY"
135000,135388.93827409,"Other"
135000,140104.256990531,"Other"
135100,125452.398032705,"Other"
139250,138854.155120308,"Other"
140000,129781.955902403,"NY"
142428,119348.473496054,"Other"
142500,121381.238183089,"Other"
147500,147498.532114258,"VA"
149000,125894.608645793,"Other"
150000,152687.445537867,"Other"
150000,135227.555543258,"Other"
150000,147018.177419497,"Other"
155000,142792.954230001,"Other"
157657.5,143620.412814841,"Other"
165000,158163.817877097,"Other"
171000,157360.619580633,"WA"
174000,176796.123900903,"GA"
175000,168138.596010044,"IL"
175000,144298.365381098,"Other"
175000,153840.187363391,"Other"
175600,157950.597584504,"Other"
183000,181558.765823524,"TX"
183000,181823.554020601,"WA"
184500,160555.70550172,"Other"
185000,161332.195613473,"Other"
197500,173056.75815334,"NY"
199837.5,162425.422505842,"VA"
206250,187917.930945012,"Other"
210000,177761.39886936,"Other"
221000,174425.160150749,"Other"
225000,172874.522677133,"Other"
229500,188700.583988315,"Other"
233000,184670.918599483,"TX"
257000,212698.455816434,"TX"
279000,216257.498231268,"Other"
4e+05,252839.461334486,"Other"
